Especialidad,Jornada_Horaria,Mes,Semana_Iso,Dia_Sem_Iso,Oferta_programada,Bloqueo,Oferta_disponible,Citas_asignadas,Sobrecupos,Cupos_Vendidos,Ticket_Integral_Especialidad
Categoria_55,Turno_A,3,13,6,9,0,9,0,0,0,779598
Categoria_Desconocida,Turno_B,3,13,4,15,0,15,0,0,0,298998
Categoria_07,Turno_B,3,12,4,6,0,6,0,0,0,927710
Categoria_33,Turno_A,3,11,4,7,0,7,0,0,0,298998
Categoria_35,Turno_C,2,9,3,2,0,2,1,0,0,139312
Categoria_37,Turno_A,3,13,1,12,0,12,0,0,0,294806
Categoria_12,Turno_A,3,10,6,16,0,16,3,0,0,848688
Categoria_14,Turno_A,3,12,3,15,0,15,11,0,0,658663
Categoria_08,Turno_B,3,12,5,2,0,2,0,0,0,310804
Categoria_57,Turno_A,3,11,1,6,0,6,0,0,0,978140
Categoria_22,Turno_A,3,12,3,4,0,4,4,0,0,907421
Categoria_63,Turno_B,2,9,5,12,0,12,12,0,0,34538
Categoria_Desconocida,Turno_A,3,13,4,14,0,14,0,0,0,298998
Categoria_48,Turno_B,2,9,1,15,0,15,15,0,0,311648
Categoria_17,Turno_B,3,10,1,10,0,10,3,0,0,312918
Categoria_27,Turno_B,3,14,1,6,0,6,0,0,0,194064
Categoria_54,Turno_A,3,13,2,15,0,15,0,0,0,130151
Categoria_34,Turno_A,3,13,5,32,0,32,0,0,0,904498
Categoria_51,Turno_A,3,10,2,18,0,18,18,0,0,657972
Categoria_38,Turno_A,3,14,2,3,0,3,0,0,0,638776
Categoria_40,Turno_B,3,11,2,14,0,14,2,0,0,149182
Categoria_Desconocida,Turno_B,3,11,2,18,0,18,0,0,0,298998
Categoria_07,Turno_A,3,11,3,6,0,6,0,0,0,927710
Categoria_63,Turno_B,3,11,2,9,0,9,3,0,0,34538
Categoria_33,Turno_B,3,11,4,2,0,2,0,0,0,298998
Categoria_Desconocida,Turno_A,3,12,6,15,0,15,0,0,0,298998
Categoria_59,Turno_C,3,10,1,3,0,3,0,0,0,596146
Categoria_28,Turno_A,3,10,4,18,0,18,2,0,0,633094
Categoria_47,Turno_A,2,9,2,28,8,20,20,0,0,831654
Categoria_38,Turno_B,3,11,3,9,0,9,9,0,0,638776
Categoria_19,Turno_A,2,9,6,4,0,4,0,0,0,385713
Categoria_12,Turno_C,3,10,3,8,0,8,0,0,0,848688
Categoria_27,Turno_B,3,13,1,6,0,6,0,0,0,194064
Categoria_06,Turno_A,3,11,4,12,0,12,12,0,0,717611
Categoria_53,Turno_B,3,11,4,21,0,21,12,0,0,860937
Categoria_63,Turno_B,3,10,3,12,0,12,4,0,0,34538
Categoria_23,Turno_A,3,10,4,32,32,0,0,0,0,298998
Categoria_Desconocida,Turno_A,3,14,1,23,0,23,0,0,0,298998
Categoria_66,Turno_B,2,9,2,18,0,18,13,0,0,146330
Categoria_39,Turno_B,3,10,3,11,0,11,1,0,0,60015
Categoria_54,Turno_A,3,14,2,15,0,15,0,0,0,130151
Categoria_58,Turno_A,3,11,5,6,0,6,6,0,0,274712
Categoria_42,Turno_B,3,10,2,24,0,24,24,0,0,934414
Categoria_25,Turno_A,3,13,5,15,0,15,15,0,0,988732
Categoria_46,Turno_A,3,12,2,15,0,15,15,0,0,625270
Categoria_03,Turno_B,2,9,2,5,0,5,0,0,0,298998
Categoria_14,Turno_B,3,13,5,16,0,16,16,0,0,658663
Categoria_21,Turno_B,3,14,2,6,0,6,6,0,0,466551
